-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_poi_fused_8         0.01%       1.819ms         0.01%       3.465ms      43.319us      12.006ms         0.05%      12.006ms     150.077us            80  
triton_red_fused__to_copy_add_mean_mul_pow_rocm_unqu...         0.00%       0.000us         0.00%       0.000us       0.000us      11.348ms         0.04%      11.348ms      24.457us           464  
triton_red_fused__to_copy_add_mean_mul_pow_rocm_unqu...         0.01%       1.604ms         0.01%       2.987ms      37.333us       9.403ms         0.04%       9.403ms     117.533us            80  
                                         Cijk_B_PostGSU         0.00%       0.000us         0.00%       0.000us       0.000us       8.576ms         0.03%       8.576ms       5.583us          1536  
                                     triton_red_fused_7         0.00%       0.000us         0.00%       0.000us       0.000us       8.108ms         0.03%       8.108ms      17.475us           464  
                                     triton_poi_fused_6         0.02%       4.565ms         0.03%       8.418ms      35.075us       7.114ms         0.03%       7.114ms      29.643us           240  
                                     triton_red_fused_7         0.00%       1.207ms         0.01%       2.442ms      30.531us       6.188ms         0.02%       6.188ms      77.353us            80  
                                            aten::index         0.03%       7.424ms         0.09%      23.639ms      74.570us       6.054ms         0.02%       7.949ms      25.075us           317  
Cijk_Alik_Bljk_BBH_MT128x128x32_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us       5.950ms         0.02%       5.950ms      92.961us            64  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.727ms         0.02%       5.727ms      19.885us           288  
                                            aten::fill_         0.02%       4.679ms         0.04%       9.217ms      12.439us       5.595ms         0.02%       5.595ms       7.550us           741  
                                 aten::_index_put_impl_         0.02%       6.471ms         0.11%      29.823ms      51.776us       5.566ms         0.02%      10.190ms      17.692us           576  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.566ms         0.02%       5.566ms      19.327us           288  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us       5.510ms         0.02%       5.510ms      19.132us           288  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.465ms         0.02%       5.465ms       4.951us          1104  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us       5.037ms         0.02%       5.037ms      10.855us           464  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       3.863ms         0.01%       3.863ms       6.036us           640  
                           Memcpy HtoD (Host -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       3.219ms         0.01%       3.219ms       7.382us           436  
                          vllm::unified_kv_cache_update         0.07%      19.344ms         0.09%      23.325ms     242.966us       3.197ms         0.01%       3.197ms      33.299us            96  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.165ms         0.01%       3.165ms      10.991us           288  
                                     aten::masked_fill_         0.01%       2.770ms         0.03%       7.010ms      24.340us       2.910ms         0.01%       2.910ms      10.103us           288  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us       2.910ms         0.01%       2.910ms      10.103us           288  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us       2.151ms         0.01%       2.151ms       4.944us           435  
                                     hipStreamWaitEvent         0.00%     537.305us         0.00%     537.305us      18.528us       2.095ms         0.01%       2.095ms      72.242us            29  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us       2.026ms         0.01%       2.026ms       5.504us           368  
                                      aten::bitwise_not         0.01%       2.727ms         0.02%       5.859ms      20.344us       1.737ms         0.01%       1.737ms       6.031us           288  
void at::native::vectorized_elementwise_kernel<16, a...         0.00%       0.000us         0.00%       0.000us       0.000us       1.737ms         0.01%       1.737ms       6.031us           288  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.203ms         0.00%       1.203ms     240.573us             5  
triton_poi_fused_mul_rocm_unquantized_gemm_sigmoid_v...         0.00%       0.000us         0.00%       0.000us       0.000us     865.411us         0.00%     865.411us      29.842us            29  
triton_poi_fused_mul_rocm_unquantized_gemm_sigmoid_v...         0.00%     125.762us         0.00%     269.963us      53.993us     728.475us         0.00%     728.475us     145.695us             5  
                                           aten::argmax         0.00%     768.197us         0.01%       1.762ms      60.767us     694.182us         0.00%     694.182us      23.937us            29  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     685.090us         0.00%     685.090us      23.624us            29  
                                              aten::sub         0.01%       3.163ms         0.02%       4.645ms      17.661us     602.019us         0.00%     602.019us       2.289us           263  
                                     triton_red_fused_1         0.00%     124.391us         0.00%     190.991us      38.198us     553.914us         0.00%     553.914us     110.783us             5  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     541.571us         0.00%     541.571us      18.675us            29  
Cijk_Alik_Bljk_BBH_MT16x16x256_SE_AMAS3_BW_DTL0_BL1_...         0.00%       0.000us         0.00%       0.000us       0.000us     522.672us         0.00%     522.672us      10.889us            48  
                                     triton_poi_fused_4         0.01%       1.516ms         0.01%       2.840ms      37.872us     373.365us         0.00%     373.365us       4.978us            75  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     326.691us         0.00%     326.691us      11.265us            29  
                           Memcpy DtoH (Device -> Host)         0.00%       0.000us         0.00%       0.000us       0.000us     302.045us         0.00%     302.045us       8.630us            35  
void at::native::elementwise_kernel_manual_unroll<12...         0.00%       0.000us         0.00%       0.000us       0.000us     294.353us         0.00%     294.353us       6.263us            47  
                                           aten::gather         0.00%     133.361us         0.00%     206.402us      34.400us     247.034us         0.00%     247.034us      41.172us             6  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     247.034us         0.00%     247.034us      41.172us             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     246.787us         0.00%     246.787us       2.654us            93  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     231.273us         0.00%     231.273us       2.658us            87  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 26.204s
Self CUDA time total: 26.151s

