event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input3_layer42,4-8K,69298,3,3,decode,1,42,linear_attention,1,False,False,ok,,1814226
input3_layer43,4-8K,69298,3,3,decode,1,43,full_attention,1,False,False,ok,,2367741
input3_layer44,4-8K,69298,3,3,decode,1,44,linear_attention,1,False,False,ok,,1959187
input3_layer45,4-8K,69298,3,3,decode,1,45,linear_attention,1,False,False,ok,,1826796
input3_layer46,4-8K,69298,3,3,decode,1,46,linear_attention,1,False,False,ok,,1808156
input3_layer47,4-8K,69298,3,3,decode,1,47,full_attention,1,False,False,ok,,2357541
input3_layer48,4-8K,69298,3,3,decode,1,48,linear_attention,1,False,False,ok,,1820506
input3_layer49,4-8K,69298,3,3,decode,1,49,linear_attention,1,False,False,ok,,1784796
input3_layer50,4-8K,69298,3,3,decode,1,50,linear_attention,1,False,False,ok,,1813936
input3_layer51,4-8K,69298,3,3,decode,1,51,full_attention,1,False,False,ok,,2362671
input3_layer52,4-8K,69298,3,3,decode,1,52,linear_attention,1,False,False,ok,,1803856
input3_layer53,4-8K,69298,3,3,decode,1,53,linear_attention,1,False,False,ok,,1818936
input3_layer54,4-8K,69298,3,3,decode,1,54,linear_attention,1,False,False,ok,,1807536
input3_layer55,4-8K,69298,3,3,decode,1,55,full_attention,1,False,False,ok,,2364902
input3_layer56,4-8K,69298,3,3,decode,1,56,linear_attention,1,False,False,ok,,1833277
input3_layer57,4-8K,69298,3,3,decode,1,57,linear_attention,1,False,False,ok,,1807766
input3_layer58,4-8K,69298,3,3,decode,1,58,linear_attention,1,False,False,ok,,1814956
input3_layer59,4-8K,69298,3,3,decode,1,59,full_attention,1,False,False,ok,,2391851
input3_layer60,4-8K,69298,3,3,decode,1,60,linear_attention,1,False,False,ok,,1823967
input3_layer61,4-8K,69298,3,3,decode,1,61,linear_attention,1,False,False,ok,,1821456
input3_layer62,4-8K,69298,3,3,decode,1,62,linear_attention,1,False,False,ok,,1807246
input3_layer63,4-8K,69298,3,3,decode,1,63,full_attention,1,False,False,ok,,2365111
input4_layer0,4-8K,69298,4,4,decode,1,0,linear_attention,1,False,False,ok,,2127679
input4_layer1,4-8K,69298,4,4,decode,1,1,linear_attention,1,False,False,ok,,1841076
input4_layer2,4-8K,69298,4,4,decode,1,2,linear_attention,1,False,False,ok,,2010128
input4_layer3,4-8K,69298,4,4,decode,1,3,full_attention,1,False,False,ok,,2451312
input4_layer4,4-8K,69298,4,4,decode,1,4,linear_attention,1,False,False,ok,,1833947
input4_layer5,4-8K,69298,4,4,decode,1,5,linear_attention,1,False,False,ok,,1825886
input4_layer6,4-8K,69298,4,4,decode,1,6,linear_attention,1,False,False,ok,,1816176
input4_layer7,4-8K,69298,4,4,decode,1,7,full_attention,1,False,False,ok,,2397051
input4_layer8,4-8K,69298,4,4,decode,1,8,linear_attention,1,False,False,ok,,1833877
input4_layer9,4-8K,69298,4,4,decode,1,9,linear_attention,1,False,False,ok,,1819636
input4_layer10,4-8K,69298,4,4,decode,1,10,linear_attention,1,False,False,ok,,1829806
input4_layer11,4-8K,69298,4,4,decode,1,11,full_attention,1,False,False,ok,,2385451
input4_layer12,4-8K,69298,4,4,decode,1,12,linear_attention,1,False,False,ok,,1840266
input4_layer13,4-8K,69298,4,4,decode,1,13,linear_attention,1,False,False,ok,,1841037
input4_layer14,4-8K,69298,4,4,decode,1,14,linear_attention,1,False,False,ok,,1863017
input4_layer15,4-8K,69298,4,4,decode,1,15,full_attention,1,False,False,ok,,2416571
input4_layer16,4-8K,69298,4,4,decode,1,16,linear_attention,1,False,False,ok,,1825496
input4_layer17,4-8K,69298,4,4,decode,1,17,linear_attention,1,False,False,ok,,1832167
input4_layer18,4-8K,69298,4,4,decode,1,18,linear_attention,1,False,False,ok,,1825376
input4_layer19,4-8K,69298,4,4,decode,1,19,full_attention,1,False,False,ok,,2383482
input4_layer20,4-8K,69298,4,4,decode,1,20,linear_attention,1,False,False,ok,,1827087
input4_layer21,4-8K,69298,4,4,decode,1,21,linear_attention,1,False,False,ok,,1827056
input4_layer22,4-8K,69298,4,4,decode,1,22,linear_attention,1,False,False,ok,,1819886
input4_layer23,4-8K,69298,4,4,decode,1,23,full_attention,1,False,False,ok,,2507892
input4_layer24,4-8K,69298,4,4,decode,1,24,linear_attention,1,False,False,ok,,1845016
input4_layer25,4-8K,69298,4,4,decode,1,25,linear_attention,1,False,False,ok,,1812546
input4_layer26,4-8K,69298,4,4,decode,1,26,linear_attention,1,False,False,ok,,1819067
input4_layer27,4-8K,69298,4,4,decode,1,27,full_attention,1,False,False,ok,,2397571
input4_layer28,4-8K,69298,4,4,decode,1,28,linear_attention,1,False,False,ok,,1827476
input4_layer29,4-8K,69298,4,4,decode,1,29,linear_attention,1,False,False,ok,,1798086
